Sample_ID,Mouse_ID,Timepoint,Genotype,Grouped.genotype,OTU1,OTU2,OTU3,OTU4,OTU5,OTU6,OTU7,OTU8,OTU9,OTU10,OTU11,OTU12,OTU13,OTU14,OTU15,OTU16,OTU17,OTU18,OTU19,OTU20,OTU21,OTU22,OTU23,OTU24,OTU25,OTU26,OTU27,OTU28,OTU29,OTU30,OTU31,OTU32,OTU33,OTU34,OTU35,OTU36,OTU37,OTU38,OTU39,OTU40,OTU41,OTU42,OTU43,OTU44,OTU45,OTU46,OTU47,OTU48,OTU49,OTU50,OTU51,OTU52,OTU53,OTU54
HACKGx342W7,HACKGx342,W7,HACKG,HACK/G,33,9320,2440,76,109,27,102,200,8849,238,1547,191,2903,85,21,29,61,1909,1385,5489,5,49,7,63,940,5361,112,9,19,18,1880,3679,5639,10,0,0,0,166,16,534,1274,0,0,1731,25,16,26,21,102,1654,189,33826,67,131
HACKGx344W7,HACKGx344,W7,WT,WT,184,2339,11763,1762,9,83,994,12,7663,132,1688,716,4524,128,36,45,140,10083,5974,3189,0,23,14,134,493,3315,203,19,244,0,1580,1244,2626,30,0,0,0,35,5,449,1388,0,0,5016,463,35,55,6,80,628,313,1606,19,1254
HACKGx353W7,HACKGx353,W7,HACKG,HACK/G,3864,1631,7225,210,12,0,609,123,3806,80,2490,346,490,211,42,152,24,4954,6226,13574,0,35,0,73,365,2685,350,181,502,0,2706,1661,384,0,0,28,0,127,0,431,3951,312,108,1591,78,23,7,0,945,1368,843,702,101,1068
HACKGx356W7,HACKGx356,W7,HACKG,HACK/G,8977,4326,2756,80,8,25,237,37,4567,117,2109,194,1220,197,28,7,45,3158,2718,1457,10,20,0,74,1319,3504,290,66,1313,0,1780,2657,3117,18,0,7,0,0,0,372,508,0,0,1119,14,23,43,0,18,1525,242,9564,60,508
HACKGx358W7,HACKGx358,W7,HACKG,HACK/G,10972,3557,1777,13,10,8,56,52,6318,100,983,64,1288,57,10,0,55,1429,1178,5131,3,34,2,37,765,5120,174,45,410,4,903,1564,2755,4,0,2,0,0,2,328,30219,111,0,548,0,0,27,0,442,1357,254,9906,19,345
HACKGx364W7,HACKGx364,W7,WT,WT,7270,1434,4462,222,9,18,272,0,1610,154,926,199,12270,31,10,56,51,2737,4756,4106,3,14,0,43,4120,2069,492,553,146,10,1543,139,11074,8,0,35,0,12,0,711,5677,468,42,1387,80,0,156,19,333,1487,215,9,21,15
HACKGx367W7,HACKGx367,W7,HACK,HACK/G,4667,1078,2615,82,0,0,347,0,1613,21,1039,85,501,54,16,16,13,1330,2666,507,0,8,0,42,185,1950,70,125,183,0,996,265,1064,0,0,10,0,0,0,228,89,234,27,678,33,4,5,0,24,529,81,163,12,126
HACKGx389W7,HACKGx389,W7,WT,WT,5954,961,2649,75,10,0,39,0,3161,145,1459,72,4830,46,24,29,42,824,1295,38947,4,27,0,18,3588,3704,852,83,670,0,762,256,4188,0,0,48,0,124,17,351,2673,185,75,602,61,0,41,10,3070,1284,420,7,15,55
HACKGx395W7,HACKGx395,W7,WT,WT,17,3058,8953,369,27,24,316,182,14760,159,748,184,6389,37,16,81,80,4055,2698,24732,4,44,0,62,614,6783,167,30,127,48,1194,2424,348,18,12,0,0,991,26,316,4435,0,0,2536,372,23,16,26,977,1056,476,11400,60,764
HACKGx396W7,HACKGx396,W7,WT,WT,49,78,1174,39,6,0,214,0,2420,118,444,34,11730,36,0,0,82,2675,283,1089,4,11,0,6,11,130,20,0,0,0,42,176,3685,3,3278,0,0,0,0,223,47628,0,0,933,60,0,236,58,59,36,176,253,0,5
HACKGx417W7,HACKGx417,W7,HACKG,HACK/G,73,989,2108,38,15,24,218,75,3752,239,630,103,5249,157,6,11,93,2155,1130,266,0,21,0,27,825,696,44,3,36,27,319,3601,6367,4,725,0,0,2,4,277,3569,0,0,599,22,0,159,21,8,333,148,38185,40,27
HACKGx419W7,HACKGx419,W7,WT,WT,106,1858,7889,915,1490,54,358,7,8775,77,1040,212,4434,102,30,186,109,3969,4283,1075,6,63,0,67,45,5046,152,0,200,0,1782,3685,3344,34,619,0,0,7,0,927,4813,0,0,2254,286,17,41,26,116,1611,404,847,45,721
ACKGx292W11,ACKGx292,W11,ACKG,ACK/G,713,1843,3544,99,10,24,371,0,5488,28,2826,188,1305,109,30,79,39,2635,3483,549,30,0,0,101,714,4663,165,42,282,0,1576,3567,1956,0,0,59,23,0,3,225,1350,0,74,1273,64,7,24,0,8,1263,489,3253,50,2128
ACKGx339W11,ACKGx339,W11,ACK,ACK/G,1422,3025,9539,432,11,39,658,24,8311,58,5280,542,2014,108,112,21,71,5725,7776,4193,40,42,2,167,1025,5895,324,230,436,3,4031,6239,4586,0,0,62,26,3,0,515,1230,114,48,2834,55,18,24,22,29,2257,449,348,75,1164
ACKGx348W11,ACKGx348,W11,ACK,ACK/G,493,698,5697,471,17,56,271,46,4597,17,3145,403,3913,81,52,4,18,3455,7061,13064,5,16,0,137,992,4152,328,113,465,0,2708,2139,4068,10,0,29,23,6,5,464,6231,0,118,2004,147,19,21,0,129,1320,529,146,30,1382
ACKGx354W11,ACKGx354,W11,ACKG,ACK/G,13344,5289,1351,25,5,46,73,42,8980,89,1482,230,2655,22,20,15,27,560,1509,5976,0,14,0,47,5754,3159,179,40,111,0,802,3539,5559,0,8,51,29,0,26,91,790,595,0,739,51,0,26,19,76,2210,81,25224,139,292
ACKGx361W11,ACKGx361,W11,ACKG,ACK/G,7598,1059,1787,11,195,11,73,234,6366,92,3119,159,462,12,0,127,30,779,1199,13818,3,29,0,17,1479,3185,207,16,1169,0,658,982,1396,0,0,86,32,0,7,143,9813,546,0,215,0,0,19,0,284,702,338,2048,107,725
ACKGx382W11,ACKGx382,W11,ACKG,ACK/G,2175,1608,784,33,33,13,67,163,3414,113,374,74,769,9,0,8,22,252,711,27508,0,6,0,22,683,1151,217,31,20,0,267,839,1122,0,0,16,8,332,3,157,581,123,0,255,0,0,12,0,960,658,41,6049,62,364
ACKGx396W11,ACKGx396,W11,ACKG,ACK/G,3702,435,1829,28,10,12,62,162,2341,64,649,93,450,9,10,9,0,964,817,21672,5,24,0,31,737,1561,393,17,115,4,605,1380,911,12,0,9,37,144,16,94,557,198,0,306,0,0,9,10,1069,869,224,46,16,435
