Sample_ID,Mouse_ID,Timepoint,Genotype,Grouped.genotype,OTU1,OTU2,OTU3,OTU4,OTU5,OTU6,OTU7,OTU8,OTU9,OTU10,OTU11,OTU12,OTU13,OTU14,OTU15,OTU16,OTU17,OTU18,OTU19,OTU20,OTU21,OTU22,OTU23,OTU24,OTU25,OTU26,OTU27,OTU28,OTU29,OTU30,OTU31,OTU32,OTU33,OTU34,OTU35,OTU36,OTU37,OTU38,OTU39,OTU40,OTU41,OTU42,OTU43,OTU44,OTU45,OTU46,OTU47,OTU48,OTU49,OTU50,OTU51,OTU52,OTU53,OTU54
HACKGx185W19,HACKGx185,W19,HACK,HACK/G,358,3663,897,0,206,9,100,1303,2984,54,182,93,149,25,0,4,0,225,1742,15773,0,10,0,49,333,1324,223,38,45,0,100,910,16,3,0,4,0,22,0,579,4539,0,0,172,63,0,31,0,78,222,30,11194,71,125
HACKGx282W19,HACKGx282,W19,HACKG,HACK/G,6789,3752,1392,28,12,20,50,581,5559,30,565,173,919,8,6,9,62,284,1123,27123,9,0,22,53,687,1683,182,7,154,0,489,1368,812,0,0,22,0,1508,29,157,8133,0,0,353,7,0,11,0,1682,1409,47,39840,43,26
HACKGx306W19,HACKGx306,W19,HACK,HACK/G,6647,8739,2682,76,274,58,183,33,7193,28,2332,444,1221,0,13,76,21,504,2844,25552,8,26,99,113,1458,1744,198,100,139,0,962,923,423,17,0,38,0,186,14,349,5358,0,0,989,7,6,0,0,273,3298,799,27791,433,981
HACKGx321W19,HACKGx321,W19,HACK,HACK/G,3088,1335,926,5,27,5,73,2082,7772,31,708,67,332,23,0,23,25,161,1543,45349,0,9,2,34,613,2277,277,16,123,0,188,1132,55,8,0,17,0,1205,0,385,4819,0,0,546,10,0,0,0,175,840,74,18029,149,188
HACKGx331W19,HACKGx331,W19,HACKG,HACK/G,64,2348,1176,29,0,5,45,2268,7070,37,421,22,193,13,0,16,18,402,362,63398,12,36,15,17,0,1581,783,5,27,0,159,1163,30,4,0,0,0,1259,0,121,8811,0,0,150,0,0,3,0,587,778,18,4782,245,78
HACKGx342W19,HACKGx342,W19,HACKG,HACK/G,2312,4245,3588,168,33,8,172,1002,8068,37,1021,140,582,22,16,19,32,1131,2958,30400,4,14,40,140,653,3595,1274,19,191,0,1536,887,186,12,0,37,0,936,0,245,1307,0,0,1047,29,0,21,0,435,1498,136,31067,72,892
HACKGx344W19,HACKGx344,W19,WT,WT,4684,1486,13208,1014,0,105,287,22,6444,31,2186,303,2340,260,35,63,53,5167,6412,31191,0,28,57,129,1364,6617,1214,113,420,6,5827,533,328,14,34,0,0,410,0,947,2331,0,0,2361,127,77,63,0,398,2919,1455,289,12,523
HACKGx353W19,HACKGx353,W19,HACKG,HACK/G,1957,2738,92,2,321,0,23,2624,4281,0,107,21,123,25,0,0,12,88,226,45172,5,2,10,0,261,99,13,11,23,0,31,3845,57,0,0,0,0,533,0,225,1950,0,0,26,0,0,4,23,475,123,6,45791,51,96
HACKGx358W19,HACKGx358,W19,HACKG,HACK/G,12670,9065,626,5,245,0,60,284,2643,58,193,0,875,0,6,0,0,205,524,30352,0,0,25,8,2435,1916,32,7,21,0,483,1163,706,0,0,3,0,21,0,329,21903,400,0,163,0,0,13,0,808,453,438,981,0,627
HACKGx364W19,HACKGx364,W19,WT,WT,11,2478,10927,175,10,16,233,2,7120,111,1097,175,8493,83,46,67,90,6330,2296,235,0,41,25,44,2284,6265,76,9,71,0,1053,1241,3649,10,0,0,0,0,16,628,1077,0,0,2249,1329,30,52,0,0,2081,1425,159,102,171
HACKGx389W19,HACKGx389,W19,WT,WT,32531,424,4705,199,0,3,47,0,1269,30,1841,59,3269,104,39,47,15,2266,1364,20543,0,13,8,34,3799,1970,418,66,206,0,3531,91,5257,0,0,0,0,39,0,896,9432,366,61,1209,43,41,0,0,2000,1603,1361,94,0,860
HACKGx395W19,HACKGx395,W19,WT,WT,10047,1912,8754,978,22,51,167,32,3947,70,2094,255,2050,179,28,50,25,3944,3865,18858,4,40,72,66,507,3049,385,104,544,0,2865,361,385,21,0,0,0,180,0,1161,10015,0,114,1602,113,32,47,0,982,3363,949,49,34,776
HACKGx396W19,HACKGx396,W19,WT,WT,3698,4438,4747,405,29,53,72,3,8348,23,2656,64,4773,53,13,586,33,2681,3798,1133,3,47,41,22,479,5658,241,23,201,6,1738,865,200,10,0,36,0,7,4,2100,2589,0,38,1545,110,12,192,0,13,4257,1797,216,61,31
HACKGx417W19,HACKGx417,W19,HACKG,HACK/G,72,2678,1433,3,2514,0,29,1506,5441,36,186,28,343,19,0,9,11,526,446,48890,0,24,6,13,513,1159,53,4,0,0,43,1222,0,0,0,0,0,801,0,137,2301,0,0,125,10,0,3,0,253,466,130,15869,16,19
HACKGx419W19,HACKGx419,W19,WT,WT,47934,3362,4929,331,232,62,172,0,5302,38,2336,108,12549,72,30,159,19,3151,3650,3481,4,13,44,40,2374,2996,314,61,216,9,1037,708,2060,8,0,10,0,25,4,1549,1056,0,0,1239,94,9,29,0,383,2708,1251,35,29,651
